Date,England,London,South_of_England,North_of_England,Midlands_and_East_of_England
2021-10-28T00:00:00Z,7019,1063,1417,2536,2003
2021-10-29T00:00:00Z,7113,1047,1437,2570,2059
2021-10-30T00:00:00Z,7155,1032,1482,2601,2040
2021-10-31T00:00:00Z,7311,1067,1489,2671,2084
2021-11-01T00:00:00Z,7535,1104,1528,2701,2202
2021-11-02T00:00:00Z,7510,1094,1552,2709,2155
2021-11-03T00:00:00Z,7291,1050,1514,2630,2097
2021-11-04T00:00:00Z,7201,1020,1509,2556,2116
2021-11-05T00:00:00Z,7072,1039,1460,2498,2075
2021-11-06T00:00:00Z,6874,1035,1431,2407,2001
2021-11-07T00:00:00Z,6910,1034,1427,2408,2041
2021-11-08T00:00:00Z,7075,1052,1478,2451,2094
2021-11-09T00:00:00Z,7053,1054,1480,2447,2072
2021-11-10T00:00:00Z,6961,1047,1449,2404,2061
2021-11-11T00:00:00Z,6861,1075,1418,2380,1988
2021-11-12T00:00:00Z,6777,1056,1412,2329,1980
2021-11-13T00:00:00Z,6639,1047,1376,2290,1926
2021-11-14T00:00:00Z,6707,1047,1427,2311,1922
2021-11-15T00:00:00Z,6864,1094,1437,2362,1971
2021-11-16T00:00:00Z,6623,1088,1359,2259,1917
2021-11-17T00:00:00Z,6412,1057,1330,2190,1835
2021-11-18T00:00:00Z,6336,1037,1345,2141,1813
2021-11-19T00:00:00Z,6310,1030,1337,2108,1835
2021-11-20T00:00:00Z,6191,1026,1299,2052,1814
2021-11-21T00:00:00Z,6322,1048,1362,2077,1835
2021-11-22T00:00:00Z,6424,1067,1386,2111,1860
2021-11-23T00:00:00Z,6257,1034,1367,2053,1803
2021-11-24T00:00:00Z,6062,1012,1332,1979,1739
2021-11-25T00:00:00Z,6068,1028,1319,1961,1760
2021-11-26T00:00:00Z,5992,1043,1299,1919,1731
2021-11-27T00:00:00Z,5852,989,1306,1870,1687
2021-11-28T00:00:00Z,5890,994,1291,1891,1714
2021-11-29T00:00:00Z,6094,1099,1356,1893,1746
2021-11-30T00:00:00Z,6123,1095,1342,1929,1757
2021-12-01T00:00:00Z,5829,1074,1334,1771,1650
2021-12-02T00:00:00Z,5915,1083,1363,1798,1671
2021-12-03T00:00:00Z,5851,1069,1366,1731,1685
2021-12-04T00:00:00Z,5784,1057,1377,1697,1653
2021-12-05T00:00:00Z,5903,1087,1392,1745,1679
2021-12-06T00:00:00Z,5992,1102,1436,1750,1704
2021-12-07T00:00:00Z,6027,1134,1418,1755,1720
2021-12-08T00:00:00Z,6053,1136,1424,1738,1755
2021-12-09T00:00:00Z,6130,1163,1456,1755,1756
2021-12-10T00:00:00Z,6088,1193,1435,1719,1741
2021-12-11T00:00:00Z,6095,1185,1428,1690,1792
2021-12-12T00:00:00Z,6223,1253,1446,1710,1814
2021-12-13T00:00:00Z,6395,1360,1471,1758,1806
2021-12-14T00:00:00Z,6434,1349,1445,1726,1914
2021-12-15T00:00:00Z,6358,1372,1411,1721,1854
2021-12-16T00:00:00Z,6405,1460,1398,1723,1824
2021-12-17T00:00:00Z,6321,1534,1330,1687,1770
2021-12-18T00:00:00Z,6287,1573,1322,1692,1700
2021-12-19T00:00:00Z,6434,1666,1332,1703,1733
2021-12-20T00:00:00Z,6688,1819,1347,1738,1784
2021-12-21T00:00:00Z,6902,1904,1368,1753,1877
2021-12-22T00:00:00Z,7080,2036,1321,1837,1886
2021-12-23T00:00:00Z,7114,2097,1306,1806,1905
2021-12-24T00:00:00Z,7366,2260,1305,1861,1940
2021-12-25T00:00:00Z,7166,2295,1258,1697,1916
2021-12-26T00:00:00Z,7536,2425,1293,1792,2026
2021-12-27T00:00:00Z,8474,2640,1467,2115,2252
2021-12-28T00:00:00Z,9546,3024,1604,2469,2449
2021-12-29T00:00:00Z,10462,3310,1784,2756,2612
2021-12-30T00:00:00Z,11452,3477,1911,3168,2896
2021-12-31T00:00:00Z,12395,3636,1968,3586,3205
2022-01-01T00:00:00Z,12615,3666,2014,3777,3158
2022-01-02T00:00:00Z,13151,3744,2033,3819,3555
2022-01-03T00:00:00Z,14210,3848,2235,4359,3768
2022-01-04T00:00:00Z,15044,3993,2276,4764,4011
2022-01-05T00:00:00Z,15659,4074,2419,5055,4111
2022-01-06T00:00:00Z,16058,4053,2418,5296,4291
