date,hospitalCases
10/03/2021,6975
09/03/2021,7451
08/03/2021,7847
07/03/2021,7812
06/03/2021,8021
05/03/2021,8594
04/03/2021,9092
03/03/2021,9594
02/03/2021,10121
01/03/2021,10765
28/02/2021,10663
27/02/2021,11090
26/02/2021,11781
25/02/2021,12449
24/02/2021,13007
23/02/2021,13511
22/02/2021,14137
21/02/2021,14142
20/02/2021,14316
19/02/2021,15018
18/02/2021,15633
17/02/2021,16458
16/02/2021,17093
15/02/2021,17730
14/02/2021,17787
13/02/2021,17694
12/02/2021,19009
11/02/2021,19983
10/02/2021,20926
09/02/2021,22067
08/02/2021,23020
07/02/2021,22991
06/02/2021,23042
05/02/2021,24402
04/02/2021,25334
03/02/2021,26374
02/02/2021,27397
01/02/2021,28539
31/01/2021,28112
30/01/2021,28571
29/01/2021,29359
28/01/2021,30333
27/01/2021,30846
26/01/2021,32337
25/01/2021,32938
24/01/2021,32907
23/01/2021,32614
22/01/2021,33412
21/01/2021,33235
20/01/2021,33886
19/01/2021,34015
18/01/2021,34336
17/01/2021,33352
16/01/2021,32923
15/01/2021,33362
14/01/2021,32925
13/01/2021,32689
12/01/2021,32202
11/01/2021,32070
10/01/2021,30758
09/01/2021,29462
08/01/2021,29346
07/01/2021,28246
06/01/2021,27727
05/01/2021,26467
04/01/2021,26626
03/01/2021,24957
02/01/2021,23557
01/01/2021,22534
31/12/2020,22728
30/12/2020,22713
29/12/2020,21787
28/12/2020,20426
27/12/2020,19277
26/12/2020,18350
25/12/2020,17701
24/12/2020,18227
23/12/2020,17834
22/12/2020,18063
21/12/2020,17709
20/12/2020,16633
19/12/2020,16183
18/12/2020,15866
17/12/2020,15741
16/12/2020,15465
15/12/2020,15031
14/12/2020,15053
13/12/2020,14460
12/12/2020,13927
11/12/2020,13901
10/12/2020,13796
09/12/2020,13467
08/12/2020,13629
07/12/2020,13616
06/12/2020,13189
05/12/2020,12968
04/12/2020,12987
03/12/2020,12896
02/12/2020,13212
01/12/2020,13507
30/11/2020,13756
29/11/2020,13521
